2,0,0,0,0,0
3,0,0,0,1,1
4,0,0,0,2,2
5,0,0,1,0,1
6,0,0,1,1,2
7,0,0,1,2,3
8,0,0,2,0,2
9,0,0,2,1,3
10,0,0,2,2,4
11,0,1,0,0,1
12,0,1,0,1,2
13,0,1,0,2,3
14,0,1,1,0,2
15,0,1,1,1,3
16,0,1,1,2,4
17,0,1,2,0,3
18,0,1,2,1,4
19,0,1,2,2,5
20,0,2,0,0,2
21,0,2,0,1,3
22,0,2,0,2,4
23,0,2,1,0,3
24,0,2,1,1,4
25,0,2,1,2,5
26,0,2,2,0,4
27,0,2,2,1,5
28,0,2,2,2,6
29,1,0,0,0,1
30,1,0,0,1,2
31,1,0,0,2,3
32,1,0,1,0,2
33,1,0,1,1,3
34,1,0,1,2,4
35,1,0,2,0,3
36,1,0,2,1,4
37,1,0,2,2,5
38,1,1,0,0,2
39,1,1,0,1,3
40,1,1,0,2,4
41,1,1,1,0,3
42,1,1,1,1,4
43,1,1,1,2,5
44,1,1,2,0,4
45,1,1,2,1,5
46,1,1,2,2,6
47,1,2,0,0,3
48,1,2,0,1,4
49,1,2,0,2,5
50,1,2,1,0,4
51,1,2,1,1,5
52,1,2,1,2,6
53,1,2,2,0,5
54,1,2,2,1,6
55,1,2,2,2,7
56,2,0,0,0,2
57,2,0,0,1,3
58,2,0,0,2,4
59,2,0,1,0,3
60,2,0,1,1,4
61,2,0,1,2,5
62,2,0,2,0,4
63,2,0,2,1,5
64,2,0,2,2,6
65,2,1,0,0,3
66,2,1,0,1,4
67,2,1,0,2,5
68,2,1,1,0,4
69,2,1,1,1,5
70,2,1,1,2,6
71,2,1,2,0,5
72,2,1,2,1,6
73,2,1,2,2,7
74,2,2,0,0,4
75,2,2,0,1,5
76,2,2,0,2,6
77,2,2,1,0,5
78,2,2,1,1,6
79,2,2,1,2,7
80,2,2,2,0,6
81,2,2,2,1,7
82,2,2,2,2,8
